Initial makespan = 2792, Initial flowtime = 0, runtime = 43.3195
Iteration 301, Neighborhood size 8, Makespan = 1401, Flowtime = 0, Runtime = 57
Iteration 302, Neighborhood size 8, Makespan = 1399, Flowtime = 0, Runtime = 57
Iteration 303, Neighborhood size 8, Makespan = 1398, Flowtime = 0, Runtime = 57
Iteration 315, Neighborhood size 8, Makespan = 1393, Flowtime = 0, Runtime = 57
Iteration 317, Neighborhood size 8, Makespan = 1392, Flowtime = 0, Runtime = 58
Iteration 322, Neighborhood size 8, Makespan = 1387, Flowtime = 0, Runtime = 58
Iteration 323, Neighborhood size 8, Makespan = 1383, Flowtime = 0, Runtime = 58
Iteration 324, Neighborhood size 8, Makespan = 1381, Flowtime = 0, Runtime = 58
Iteration 327, Neighborhood size 8, Makespan = 1380, Flowtime = 0, Runtime = 58
Iteration 328, Neighborhood size 8, Makespan = 1379, Flowtime = 0, Runtime = 58
Iteration 329, Neighborhood size 8, Makespan = 1378, Flowtime = 0, Runtime = 58
Iteration 337, Neighborhood size 8, Makespan = 1375, Flowtime = 0, Runtime = 58
Iteration 346, Neighborhood size 8, Makespan = 1373, Flowtime = 0, Runtime = 59
Iteration 348, Neighborhood size 8, Makespan = 1369, Flowtime = 0, Runtime = 59
Iteration 349, Neighborhood size 8, Makespan = 1366, Flowtime = 0, Runtime = 59
Iteration 350, Neighborhood size 8, Makespan = 1360, Flowtime = 0, Runtime = 59
Iteration 351, Neighborhood size 8, Makespan = 1358, Flowtime = 0, Runtime = 59
Iteration 358, Neighborhood size 8, Makespan = 1357, Flowtime = 0, Runtime = 59
Iteration 364, Neighborhood size 8, Makespan = 1356, Flowtime = 0, Runtime = 59
Iteration 369, Neighborhood size 8, Makespan = 1355, Flowtime = 0, Runtime = 60
Iteration 380, Neighborhood size 8, Makespan = 1351, Flowtime = 0, Runtime = 60
Iteration 419, Neighborhood size 8, Makespan = 1350, Flowtime = 0, Runtime = 62
Iteration 420, Neighborhood size 8, Makespan = 1345, Flowtime = 0, Runtime = 62
Iteration 429, Neighborhood size 8, Makespan = 1344, Flowtime = 0, Runtime = 62
Iteration 431, Neighborhood size 8, Makespan = 1343, Flowtime = 0, Runtime = 62
Iteration 432, Neighborhood size 8, Makespan = 1341, Flowtime = 0, Runtime = 62
Iteration 436, Neighborhood size 8, Makespan = 1340, Flowtime = 0, Runtime = 62
Iteration 439, Neighborhood size 8, Makespan = 1338, Flowtime = 0, Runtime = 63
Iteration 440, Neighborhood size 8, Makespan = 1337, Flowtime = 0, Runtime = 63
Iteration 443, Neighborhood size 8, Makespan = 1336, Flowtime = 0, Runtime = 63
Iteration 482, Neighborhood size 8, Makespan = 1335, Flowtime = 0, Runtime = 64
Iteration 488, Neighborhood size 8, Makespan = 1334, Flowtime = 0, Runtime = 65
Iteration 514, Neighborhood size 8, Makespan = 1330, Flowtime = 0, Runtime = 66
Iteration 518, Neighborhood size 8, Makespan = 1329, Flowtime = 0, Runtime = 66
Iteration 520, Neighborhood size 8, Makespan = 1328, Flowtime = 0, Runtime = 66
Iteration 522, Neighborhood size 8, Makespan = 1327, Flowtime = 0, Runtime = 66
